"ship","type","time","zone","length","breath","dwt","h_s","t_p","dir","h_sm","h_0","wind_speed","wind_dir","mov_avg","mov_max","mov_sig"
"Ship 26","General Cargo",11/23/15 11:00 AM,4,89.7,13.6,4135,3.07,9.91,335,0.22,3.08,4.34,174,0.24,0.55,0.36
"Ship 26","General Cargo",11/23/15 12:00 PM,4,89.7,13.6,4135,2.31,10.71,336,0.22,3.58,2.76,74,0.27,0.76,0.41
"Ship 26","General Cargo",11/23/15 01:00 PM,4,89.7,13.6,4135,2.38,10.08,334,0.22,3.74,5.47,47,0.23,0.53,0.34
"Ship 26","General Cargo",11/23/15 02:00 PM,4,89.7,13.6,4135,2.37,10.85,341,0.21,3.51,6.9,32,0.43,0.86,0.62
"Ship 26","General Cargo",11/23/15 03:00 PM,4,89.7,13.6,4135,2.42,10.14,343,0.18,2.94,9.48,36,0.25,0.57,0.37
"Ship 26","General Cargo",11/23/15 04:00 PM,4,89.7,13.6,4135,2.66,10.01,341,0.19,2.16,8.68,38,0.3,0.6,0.41
"Ship 26","General Cargo",11/23/15 05:00 PM,4,89.7,13.6,4135,2.4,10.94,343,0.22,1.38,11.16,54,0.29,0.53,0.4
"Ship 8","General Cargo",11/26/15 11:00 AM,5,129.1,15.9,8600,3.09,11.17,340,0.23,1.05,17.42,49,0.26,0.59,0.38
"Ship 8","General Cargo",11/26/15 12:00 PM,5,129.1,15.9,8600,3.01,11.23,338,0.23,1.9,20.78,49,0.27,0.78,0.41
"Ship 8","General Cargo",11/26/15 01:00 PM,5,129.1,15.9,8600,2.94,10.76,342,0.26,2.8,20.07,46,0.24,0.72,0.37
"Ship 8","General Cargo",11/26/15 02:00 PM,5,129.1,15.9,8600,3.04,10.34,341,0.26,3.53,18.18,53,0.29,0.66,0.41
"Ship 8","General Cargo",11/26/15 03:00 PM,5,129.1,15.9,8600,2.54,9.14,338,0.25,3.93,20.99,38,0.27,0.57,0.41
"Ship 8","General Cargo",11/26/15 04:00 PM,5,129.1,15.9,8600,2.65,10.49,340,0.24,3.87,18.58,28,0.29,0.65,0.43
"Ship 8","General Cargo",11/26/15 05:00 PM,5,129.1,15.9,8600,2.71,8.64,340,0.22,3.38,15.13,32,0.27,0.6,0.4
"Ship 8","General Cargo",11/26/15 06:00 PM,5,129.1,15.9,8600,2.73,9.72,341,0.21,2.57,16.57,58,0.25,0.56,0.39
"Ship 8","General Cargo",11/26/15 07:00 PM,5,129.1,15.9,8600,2.83,10.17,340,0.2,1.62,17.22,40,0.24,0.6,0.36
"Ship 8","General Cargo",11/26/15 08:00 PM,5,129.1,15.9,8600,3.03,10.01,339,0.2,0.82,15.96,40,0.23,0.53,0.35
"Ship 8","General Cargo",11/26/15 09:00 PM,5,129.1,15.9,8600,2.83,10.54,340,0.19,0.4,15.93,44,0.23,0.54,0.35
"Ship 8","General Cargo",11/26/15 10:00 PM,5,129.1,15.9,8600,2.47,9.77,337,0.16,0.45,14.7,48,0.24,0.5,0.35
"Ship 8","General Cargo",11/26/15 11:00 PM,5,129.1,15.9,8600,3.05,10.75,338,0.19,0.94,14.63,38,0.25,0.63,0.36
"Ship 8","General Cargo",11/27/15 12:00 AM,5,129.1,15.9,8600,2.69,10.78,337,0.21,1.73,15.74,35,0.26,0.63,0.39
"Ship 8","General Cargo",11/27/15 01:00 AM,5,129.1,15.9,8600,2.51,8.09,340,0.18,2.62,16.19,37,0.25,0.66,0.37
"Ship 8","General Cargo",11/27/15 02:00 AM,5,129.1,15.9,8600,2.3,10.27,348,0.19,3.42,14.1,33,0.26,0.74,0.38
"Ship 8","General Cargo",11/27/15 03:00 AM,5,129.1,15.9,8600,2.43,9.41,342,0.21,3.92,11.33,30,0.25,0.54,0.37
"Ship 8","General Cargo",11/27/15 04:00 AM,5,129.1,15.9,8600,2.31,9.9,340,0.23,4.02,10.85,34,0.25,0.56,0.38
"Ship 8","General Cargo",11/27/15 05:00 AM,5,129.1,15.9,8600,2.27,9.76,341,0.19,3.67,11.12,32,0.26,0.59,0.39
"Ship 8","General Cargo",11/27/15 06:00 AM,5,129.1,15.9,8600,2.06,8.79,338,0.17,2.97,9.9,37,0.21,0.51,0.31
"Ship 8","General Cargo",11/27/15 07:00 AM,5,129.1,15.9,8600,2.26,9.47,339,0.16,2.06,12.8,73,0.22,0.54,0.33
"Ship 8","General Cargo",11/27/15 08:00 AM,5,129.1,15.9,8600,2.15,8.44,339,0.16,1.16,12.65,130,0.22,0.61,0.32
"Ship 8","General Cargo",11/27/15 09:00 AM,5,129.1,15.9,8600,2.15,9.51,341,0.14,0.54,10.94,166,0.18,0.44,0.27
"Ship 8","General Cargo",11/27/15 10:00 AM,5,129.1,15.9,8600,2.29,9.95,339,0.14,0.36,8.83,204,0.22,0.49,0.33
"Ship 8","General Cargo",11/27/15 11:00 AM,5,129.1,15.9,8600,2.04,7.89,342,0.12,0.64,9.64,287,0.25,0.52,0.37
"Ship 8","General Cargo",11/27/15 12:00 PM,5,129.1,15.9,8600,2.03,9.61,339,0.12,1.28,13.48,312,0.23,0.49,0.35
"Ship 8","General Cargo",11/27/15 01:00 PM,5,129.1,15.9,8600,2.12,8.25,340,0.12,2.13,14.41,327,0.22,0.63,0.34
