"ship","type","time","zone","length","breath","dwt","h_s","t_p","dir","h_sm","h_0","wind_speed","wind_dir","mov_avg","mov_max","mov_sig"
"Ship 8","General Cargo",11/26/15 10:00 AM,5,129.1,15.9,8600,3.53,12.34,342,0.24,0.53,19.3,35.45,0.21,0.69,0.29
"Ship 8","General Cargo",11/26/15 11:00 AM,5,129.1,15.9,8600,3.09,11.17,340,0.23,1.17,14.95,58.8,0.25,0.41,0.3
"Ship 8","General Cargo",11/26/15 12:00 PM,5,129.1,15.9,8600,3.01,11.23,338,0.23,2.05,19.35,40.85,0.3,0.54,0.38
"Ship 8","General Cargo",11/26/15 01:00 PM,5,129.1,15.9,8600,2.94,10.76,342,0.26,2.93,19.3,62.75,0.25,0.41,0.3
"Ship 8","General Cargo",11/26/15 02:00 PM,5,129.1,15.9,8600,3.04,10.34,341,0.26,3.63,14.8,73,0.23,0.37,0.28
"Ship 8","General Cargo",11/26/15 03:00 PM,5,129.1,15.9,8600,2.54,9.14,338,0.25,3.95,21.75,30.55,0.22,0.34,0.27
"Ship 8","General Cargo",11/26/15 04:00 PM,5,129.1,15.9,8600,2.65,10.49,340,0.24,3.81,20,27.15,0.15,0.39,0.23
"Ship 8","General Cargo",11/26/15 05:00 PM,5,129.1,15.9,8600,2.71,8.64,340,0.22,3.27,14.2,29.3,0.14,0.27,0.18
"Ship 8","General Cargo",11/27/15 01:00 AM,5,129.1,15.9,8600,2.51,8.09,340,0.18,2.76,15.45,36.95,0.15,0.32,0.2
"Ship 8","General Cargo",11/27/15 02:00 AM,5,129.1,15.9,8600,2.3,10.27,348,0.19,3.53,14.1,32.85,0.15,0.31,0.19
"Ship 8","General Cargo",11/27/15 03:00 AM,5,129.1,15.9,8600,2.43,9.41,342,0.21,3.96,10.4,30.95,0.15,0.26,0.19
"Ship 8","General Cargo",11/27/15 04:00 AM,5,129.1,15.9,8600,2.31,9.9,340,0.23,3.99,10.2,35.1,0.22,0.34,0.26
"Ship 8","General Cargo",11/27/15 05:00 AM,5,129.1,15.9,8600,2.27,9.76,341,0.19,3.58,12,33.5,0.26,0.36,0.3
"Ship 8","General Cargo",11/27/15 06:00 AM,5,129.1,15.9,8600,2.06,8.79,338,0.17,2.84,10.5,34.7,0.28,0.51,0.34
"Ship 8","General Cargo",11/27/15 07:00 AM,5,129.1,15.9,8600,2.26,9.47,339,0.16,1.91,12.5,81.7,0.3,0.37,0.33
"Ship 8","General Cargo",11/27/15 08:00 AM,5,129.1,15.9,8600,2.15,8.44,339,0.16,1.04,13.1,76.7,0.37,0.52,0.41
"Ship 8","General Cargo",11/27/15 09:00 AM,5,129.1,15.9,8600,2.15,9.51,341,0.14,0.48,10.9,175.85,0.08,0.29,0.13
"Ship 8","General Cargo",11/27/15 10:00 AM,5,129.1,15.9,8600,2.29,9.95,339,0.14,0.38,9.4,192.3,0.09,0.22,0.14
"Ship 8","General Cargo",11/27/15 11:00 AM,5,129.1,15.9,8600,2.04,7.89,342,0.12,0.72,9.8,268.5,0.12,0.32,0.19
"Ship 8","General Cargo",11/27/15 12:00 PM,5,129.1,15.9,8600,2.03,9.61,339,0.12,1.4,11.55,301.15,0.11,0.28,0.16
"Ship 8","General Cargo",11/27/15 01:00 PM,5,129.1,15.9,8600,2.12,8.25,340,0.12,2.27,13.25,327.65,0.07,0.17,0.1
"Ship 8","General Cargo",11/27/15 02:00 PM,5,129.1,15.9,8600,1.92,9.6,341,0.14,3.09,18.9,324,0.07,0.19,0.11
"Ship 8","General Cargo",11/27/15 03:00 PM,5,129.1,15.9,8600,2.04,9.24,334,0.17,3.69,13.8,326,0.1,0.25,0.15
"Ship 5","Bulkcarrier",12/07/15 10:00 AM,5,225,32.2,75399,2.15,14.9,306,0.28,2.66,29.25,176.2,0.16,0.37,0.23
"Ship 5","Bulkcarrier",12/07/15 11:00 AM,5,225,32.2,75399,2.08,11.87,304,0.29,3.04,41,195.05,0.13,0.29,0.18
"Ship 5","Bulkcarrier",12/07/15 12:00 PM,5,225,32.2,75399,2.08,12.39,307,0.28,3.26,30.8,193.5,0.12,0.25,0.16
"Ship 5","Bulkcarrier",12/07/15 01:00 PM,5,225,32.2,75399,2.08,12.41,302,0.29,3.26,55.1,209.35,0.09,0.26,0.15
"Ship 5","Bulkcarrier",12/07/15 02:00 PM,5,225,32.2,75399,2,12.43,298,0.28,3.05,52.4,205.65,0.11,0.28,0.15
"Ship 5","Bulkcarrier",12/07/15 03:00 PM,5,225,32.2,75399,2.11,12.35,299,0.25,2.63,58.15,216.25,0.1,0.29,0.14
"Ship 5","Bulkcarrier",12/07/15 04:00 PM,5,225,32.2,75399,1.73,11.48,294,0.27,2.13,60.05,205.85,0.14,0.31,0.2
"Ship 5","Bulkcarrier",12/07/15 05:00 PM,5,225,32.2,75399,1.72,12.37,294,0.25,1.66,54.85,207.85,0.12,0.29,0.17
"Ship 5","Bulkcarrier",12/07/15 06:00 PM,5,225,32.2,75399,1.89,12.41,295,0.25,1.38,55.2,210.15,0.15,0.36,0.22
"Ship 5","Bulkcarrier",12/07/15 07:00 PM,5,225,32.2,75399,1.88,11.94,297,0.23,1.32,45.25,215.4,0.15,0.28,0.2
"Ship 5","Bulkcarrier",12/07/15 08:00 PM,5,225,32.2,75399,1.84,12.37,296,0.21,1.52,49.35,207.1,0.15,0.31,0.2
"Ship 5","Bulkcarrier",12/07/15 09:00 PM,5,225,32.2,75399,1.68,12.12,296,0.21,1.94,51,212.15,0.13,0.31,0.18
"Ship 5","Bulkcarrier",12/07/15 10:00 PM,5,225,32.2,75399,1.75,11.44,297,0.2,2.44,42.5,217.6,0.13,0.31,0.18
"Ship 5","Bulkcarrier",12/07/15 11:00 PM,5,225,32.2,75399,1.86,12.35,296,0.22,2.94,40.35,218,0.12,0.37,0.19
"Ship 5","Bulkcarrier",12/08/15 12:00 AM,5,225,32.2,75399,1.84,11.68,300,0.25,3.29,26.55,223.55,0.11,0.31,0.16
"Ship 5","Bulkcarrier",12/08/15 01:00 AM,5,225,32.2,75399,1.9,11.84,303,0.27,3.38,23.7,256.5,0.13,0.26,0.18
"Ship 5","Bulkcarrier",12/08/15 02:00 AM,5,225,32.2,75399,1.89,11.76,300,0.24,3.22,20.3,248.55,0.14,0.3,0.19
"Ship 5","Bulkcarrier",12/08/15 03:00 AM,5,225,32.2,75399,2.25,12.02,298,0.23,2.83,19.75,219,0.17,0.36,0.23
"Ship 5","Bulkcarrier",12/08/15 04:00 AM,5,225,32.2,75399,1.9,11.82,301,0.22,2.32,16.9,225.35,0.18,0.44,0.26
"Ship 5","Bulkcarrier",12/08/15 05:00 AM,5,225,32.2,75399,1.85,11.15,300,0.19,1.78,19.15,229.05,0.14,0.26,0.18
"Ship 5","Bulkcarrier",12/08/15 06:00 AM,5,225,32.2,75399,1.91,11.65,299,0.21,1.41,23.25,227.95,0.17,0.44,0.23
"Ship 5","Bulkcarrier",12/08/15 07:00 AM,5,225,32.2,75399,2.27,11.08,297,0.21,1.27,18.75,224.35,0.16,0.28,0.21
