"ship","type","time","zone","length","breath","dwt","h_s","t_p","dir","h_sm","h_0","wind_speed","wind_dir","mov_avg","mov_max","mov_sig"
"Ship 8","General Cargo",11/26/15 10:00 AM,5,129.1,15.9,8600,3.53,12.34,342,0.24,0.46,19.22,36,0.24,1.11,0.39
"Ship 8","General Cargo",11/26/15 11:00 AM,5,129.1,15.9,8600,3.09,11.17,340,0.23,1.05,17.42,49,0.16,0.51,0.26
"Ship 8","General Cargo",11/26/15 12:00 PM,5,129.1,15.9,8600,3.01,11.23,338,0.23,1.9,20.78,49,0.21,0.69,0.37
"Ship 8","General Cargo",11/26/15 01:00 PM,5,129.1,15.9,8600,2.94,10.76,342,0.26,2.8,20.07,46,0.16,0.39,0.25
"Ship 8","General Cargo",11/26/15 02:00 PM,5,129.1,15.9,8600,3.04,10.34,341,0.26,3.53,18.18,53,0.15,0.39,0.24
"Ship 8","General Cargo",11/26/15 03:00 PM,5,129.1,15.9,8600,2.54,9.14,338,0.25,3.93,20.99,38,0.19,0.39,0.27
"Ship 8","General Cargo",11/26/15 04:00 PM,5,129.1,15.9,8600,2.65,10.49,340,0.24,3.87,18.58,28,0.18,0.49,0.3
"Ship 8","General Cargo",11/26/15 05:00 PM,5,129.1,15.9,8600,2.71,8.64,340,0.22,3.38,15.13,32,0.15,0.37,0.23
"Ship 8","General Cargo",11/27/15 01:00 AM,5,129.1,15.9,8600,2.51,8.09,340,0.18,2.62,16.19,37,0.17,0.35,0.25
"Ship 8","General Cargo",11/27/15 02:00 AM,5,129.1,15.9,8600,2.3,10.27,348,0.19,3.42,14.1,33,0.14,0.33,0.21
"Ship 8","General Cargo",11/27/15 03:00 AM,5,129.1,15.9,8600,2.43,9.41,342,0.21,3.92,11.33,30,0.11,0.34,0.19
"Ship 8","General Cargo",11/27/15 04:00 AM,5,129.1,15.9,8600,2.31,9.9,340,0.23,4.02,10.85,34,0.13,0.39,0.22
"Ship 8","General Cargo",11/27/15 05:00 AM,5,129.1,15.9,8600,2.27,9.76,341,0.19,3.67,11.12,32,0.14,0.41,0.22
"Ship 8","General Cargo",11/27/15 06:00 AM,5,129.1,15.9,8600,2.06,8.79,338,0.17,2.97,9.9,37,0.14,0.55,0.24
"Ship 8","General Cargo",11/27/15 07:00 AM,5,129.1,15.9,8600,2.26,9.47,339,0.16,2.06,12.8,73,0.11,0.21,0.15
"Ship 8","General Cargo",11/27/15 08:00 AM,5,129.1,15.9,8600,2.15,8.44,339,0.16,1.16,12.65,130,0.12,0.34,0.2
"Ship 8","General Cargo",11/27/15 09:00 AM,5,129.1,15.9,8600,2.15,9.51,341,0.14,0.54,10.94,166,0.15,0.47,0.24
"Ship 8","General Cargo",11/27/15 10:00 AM,5,129.1,15.9,8600,2.29,9.95,339,0.14,0.36,8.83,204,0.14,0.38,0.23
"Ship 8","General Cargo",11/27/15 11:00 AM,5,129.1,15.9,8600,2.04,7.89,342,0.12,0.64,9.64,287,0.19,0.43,0.3
"Ship 8","General Cargo",11/27/15 12:00 PM,5,129.1,15.9,8600,2.03,9.61,339,0.12,1.28,13.48,312,0.14,0.31,0.22
"Ship 8","General Cargo",11/27/15 01:00 PM,5,129.1,15.9,8600,2.12,8.25,340,0.12,2.13,14.41,327,0.12,0.3,0.18
"Ship 8","General Cargo",11/27/15 02:00 PM,5,129.1,15.9,8600,1.92,9.6,341,0.14,2.98,16.5,324,0.15,0.4,0.27
"Ship 8","General Cargo",11/27/15 03:00 PM,5,129.1,15.9,8600,2.04,9.24,334,0.17,3.62,14.71,319,0.2,0.52,0.36
"Ship 5","Bulkcarrier",12/07/15 10:00 AM,5,225,32.2,75399,2.15,14.9,306,0.28,2.58,33.63,178,0.11,0.28,0.18
"Ship 5","Bulkcarrier",12/07/15 11:00 AM,5,225,32.2,75399,2.08,11.87,304,0.29,2.98,35,189,0.11,0.29,0.18
"Ship 5","Bulkcarrier",12/07/15 12:00 PM,5,225,32.2,75399,2.08,12.39,307,0.28,3.23,47.48,200,0.08,0.26,0.15
"Ship 5","Bulkcarrier",12/07/15 01:00 PM,5,225,32.2,75399,2.08,12.41,302,0.29,3.28,54.86,208,0.07,0.19,0.12
"Ship 5","Bulkcarrier",12/07/15 02:00 PM,5,225,32.2,75399,2,12.43,298,0.28,3.09,56.24,208,0.11,0.29,0.18
"Ship 5","Bulkcarrier",12/07/15 03:00 PM,5,225,32.2,75399,2.11,12.35,299,0.25,2.7,60.56,214,0.06,0.27,0.11
"Ship 5","Bulkcarrier",12/07/15 04:00 PM,5,225,32.2,75399,1.73,11.48,294,0.27,2.2,56.77,206,0.09,0.39,0.18
"Ship 5","Bulkcarrier",12/07/15 05:00 PM,5,225,32.2,75399,1.72,12.37,294,0.25,1.73,53.47,211,0.09,0.27,0.14
"Ship 5","Bulkcarrier",12/07/15 06:00 PM,5,225,32.2,75399,1.89,12.41,295,0.25,1.4,52.33,208,0.12,0.32,0.2
"Ship 5","Bulkcarrier",12/07/15 07:00 PM,5,225,32.2,75399,1.88,11.94,297,0.23,1.31,50.23,217,0.11,0.27,0.18
"Ship 5","Bulkcarrier",12/07/15 08:00 PM,5,225,32.2,75399,1.84,12.37,296,0.21,1.48,50.45,208,0.1,0.21,0.17
"Ship 5","Bulkcarrier",12/07/15 09:00 PM,5,225,32.2,75399,1.68,12.12,296,0.21,1.86,48.37,213,0.09,0.21,0.14
